,Arrests,BusShelters,Restaurants,Landmarks,Count Blue Collar
BK09,35.0,6.0,206.0,1416.0,2477.0
BK17,125.0,35.0,162.0,2.0,9871.0
BK19,63.0,14.0,48.0,4.0,4716.0
BK21,213.0,15.0,8.0,18.0,4657.0
BK23,201.0,14.0,1.0,0.0,1946.0
BK25,179.0,18.0,202.0,1.0,7163.0
BK26,66.0,12.0,21.0,4.0,4704.0
BK27,149.0,9.0,28.0,2.0,5681.0
BK28,138.0,18.0,158.0,3.0,18215.0
BK29,106.0,18.0,54.0,2.0,12650.0
BK30,124.0,13.0,52.0,1.0,9683.0
BK31,290.0,23.0,565.0,58.0,13428.0
BK32,442.0,12.0,360.0,343.0,13045.0
BK33,195.0,19.0,425.0,1166.0,6150.0
BK34,140.0,13.0,364.0,213.0,19692.0
BK35,328.0,40.0,143.0,632.0,8818.0
BK37,197.0,15.0,1116.0,2733.0,10882.0
BK38,502.0,31.0,457.0,825.0,5066.0
BK40,15.0,9.0,100.0,23.0,3844.0
BK41,33.0,4.0,39.0,1.0,6223.0
BK42,380.0,22.0,157.0,1157.0,16923.0
BK43,61.0,18.0,112.0,2.0,7009.0
BK44,64.0,21.0,65.0,2.0,7127.0
BK45,102.0,18.0,27.0,1.0,7364.0
BK46,18.0,4.0,4.0,1.0,2980.0
BK50,207.0,21.0,34.0,0.0,12424.0
BK58,265.0,21.0,23.0,5.0,10315.0
BK60,294.0,33.0,94.0,1015.0,10416.0
BK61,597.0,53.0,346.0,2381.0,14233.0
BK63,224.0,14.0,38.0,0.0,5287.0
BK64,51.0,7.0,427.0,999.0,2863.0
BK68,128.0,14.0,189.0,917.0,3817.0
BK69,92.0,17.0,236.0,1129.0,6246.0
BK72,27.0,7.0,3.0,2.0,3163.0
BK73,263.0,5.0,1254.0,54.0,9842.0
BK75,564.0,29.0,137.0,956.0,10659.0
BK76,164.0,4.0,511.0,392.0,8218.0
BK77,397.0,10.0,699.0,3.0,15112.0
